name,e-number,toxicity,origin,clasif,link
Ácido láurico,---,---,---,---,https://hablemosclaro.org/acido-laurico/
Ácido Ascórbico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-ascorbico/
Ácido Cítrico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-citrico/
Ácido Tartárico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-tartarico/
Ácido Tiodipropiónico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-tiodipropionico/
Butilhidroxianisol (BHA),---,---,---,---,https://hablemosclaro.org/ingrepedia/butilhidroxianisol-bha/
Butilhidroxitolueno (BHT),---,---,---,---,https://hablemosclaro.org/ingrepedia/butilhidroxitolueno-bht/
Citrato de Triamonio,---,---,---,---,https://hablemosclaro.org/ingrepedia/citrato-de-triamonio/
Citratos Cálcicos,---,---,---,---,https://hablemosclaro.org/ingrepedia/citratos-calcicos/
Citratos Sódicos,---,---,---,---,https://hablemosclaro.org/ingrepedia/citratos-sodicos/
Cloruro de Estaño,---,---,---,---,https://hablemosclaro.org/ingrepedia/cloruro-de-estano/
EDTA Cálcico – Disódico,---,---,---,---,https://hablemosclaro.org/ingrepedia/edta-calcico-disodico/
Lactato de Potasio,---,---,---,---,https://hablemosclaro.org/ingrepedia/lactato-de-potasio/
Lactato de Sodio,---,---,---,---,https://hablemosclaro.org/ingrepedia/lactato-de-sodio/
Lecitina de Girasol,---,---,---,---,https://hablemosclaro.org/ingrepedia/lecitina-de-girasol/
Óxido Nitroso,---,---,---,---,https://hablemosclaro.org/ingrepedia/oxido-nitroso/
Resina de Guayaco,---,---,---,---,https://hablemosclaro.org/ingrepedia/resina-de-guayaco/
Terbutilhidroquinona (TBHQ),---,---,---,---,https://hablemosclaro.org/ingrepedia/terbutildroquinona-tbhq/
Tiodipropionato de Dilaurilo,---,---,---,---,https://hablemosclaro.org/ingrepedia/tiodipropionato-de-dilaurilo/
Tocoferoles,---,---,---,---,https://hablemosclaro.org/ingrepedia/tocoferoles/
Oxiestearina,---,---,---,---,https://hablemosclaro.org/oxiestearina/
Sulfito ácido de calcio,---,---,---,---,https://hablemosclaro.org/5901-2/
Tiosulfato de sodio ,---,---,---,---,https://hablemosclaro.org/tiosulfato-de-so…sulfito-de-sodio/
Tartrato hidrogenado de sodio /a>,---,---,---,---,https://hablemosclaro.org/5913-2/
Tartrato de sodio,---,---,---,---,https://hablemosclaro.org/tartrato-de-sodio/
Bisulfito de potasio,---,---,---,---,https://hablemosclaro.org/bisulfito-de-potasio/
Tartrato de potasio ,---,---,---,---,https://hablemosclaro.org/5929-2/
Tartrato dipotásico,---,---,---,---,https://hablemosclaro.org/5929-2/
Tartrato de potasio y sodio,---,---,---,---,https://hablemosclaro.org/tartrato-de-potasio-y-sodio/
Sulfito de sodio,---,---,---,---,https://hablemosclaro.org/sulfito-de-sodio/
Ácido eritórbico,---,---,---,---,https://hablemosclaro.org/acetato-de-amonio/
 Bentonita,---,---,---,---,https://hablemosclaro.org/ingrepedia/bentonita/
Enzimas,---,---,---,---,https://hablemosclaro.org/ingrepedia/enzimas/
Gelatina / Grenetina,---,---,---,---,https://hablemosclaro.org/ingrepedia/gelatina-grenetina/
Polivinilpolipirrolidona Insoluble o PVPP,---,---,---,---,https://hablemosclaro.org/ingrepedia/polivinilpolipirrolidona-insoluble-o-pvpp/
Glicerolado de dialmidón,---,---,---,---,https://hablemosclaro.org/glicerolado-de-dialmidon/
Fosfato de dialmidón fosfatado,---,---,---,---,https://hablemosclaro.org/fosfato-de-dialmidon-fosfatado/
Fosfato de dialmidón acetilado ,---,---,---,---,https://hablemosclaro.org/fosfato-de-dialmidon-acetilado//
 Acetato de Calcio,---,---,---,---,https://hablemosclaro.org/ingrepedia/acetato-de-calcio/
Acetato de Potasio,---,---,---,---,https://hablemosclaro.org/ingrepedia/acetato-de-potasio/
Acetato de Sodio,---,---,---,---,https://hablemosclaro.org/ingrepedia/acetato-de-sodio/
Ácido Acético,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-acetico/
Ácido Fosfórico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-fosforico/
Ácido Láctico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-lactico/
Benzoato de Sodio,---,---,---,---,https://hablemosclaro.org/ingrepedia/benzoato-de-sodio/
Diacetato de Sodio,---,---,---,---,https://hablemosclaro.org/ingrepedia/diacetato-de-sodio/
