name,e-number,toxicity,origin,clasif,link
Vaca,---,---,---,---,/wiki/Vaca
Avestruz,---,---,---,---,/wiki/Avestruz
Paloma,---,---,---,---,/wiki/Paloma
Perdiz,---,---,---,---,/wiki/Perdiz
Patos,---,---,---,---,/wiki/Pato
Pavos,---,---,---,---,/wiki/Pavo
Ocas,---,---,---,---,/wiki/Anser_anser
Gallinas,---,---,---,---,/wiki/Gallina
Pollo,---,---,---,---,/wiki/Pollo
capones,---,---,---,---,/wiki/Cap%C3%B3n
Bison,---,---,---,---,/wiki/Bison
Conejo,---,---,---,---,/wiki/Conejo
Liebre,---,---,---,---,/wiki/Liebre
Oso,---,---,---,---,/wiki/Ursidae
Ciervo,---,---,---,---,/wiki/Ciervo
Jabalí,---,---,---,---,/wiki/Jabal%C3%AD
Patos,---,---,---,---,/wiki/Pato
Faisanes,---,---,---,---,/wiki/Faisan
Ancas de rana,---,---,---,---,/wiki/Ancas_de_rana
Caracoles,---,---,---,---,/wiki/Caracol
Alcoholes fuertes,---,---,---,---,---
Cervezas,---,---,---,---,/wiki/Cerveza
Sidras,---,---,---,---,/wiki/Sidra
Licores,---,---,---,---,/wiki/Licor
Vino blanco,---,---,---,---,/wiki/Vino_blanco
Vino caliente,---,---,---,---,/wiki/Vino_caliente
Vino tinto,---,---,---,---,/wiki/Vino_tinto
Vino rosado,---,---,---,---,/wiki/Vino_rosado
Vino dulce,---,---,---,---,/wiki/Vino_dulce
Whisky,---,---,---,---,/wiki/Whisky
Cafés,---,---,---,---,/wiki/Caf%C3%A9
Cola,---,---,---,---,/wiki/Cola
Agua,---,---,---,---,/wiki/Agua
Agua mineral,---,---,---,---,/wiki/Agua_mineral
Agua gaseosa,---,---,---,---,/wiki/Agua_carbonatada
Zumo,---,---,---,---,/wiki/Zumo
Tés,---,---,---,---,/wiki/T%C3%A9
Horchata,---,---,---,---,/wiki/Horchata
Cerveza sin alcohol,---,---,---,---,/wiki/Cerveza_sin_alcohol
